Testcase,Num,timestamp,End_detected,ASR_Result,TTS_Speak_directive,TTS_1st_data,TTS_1st_pcm_write,Dialog_Request_ID
weather,1,1718391882,-3316,-314,-498,-173,0,28116d88270107fa47f24af33ad19b13
weather,2,1718391891,-3315,-325,-507,-99,0,28116dab4e0107fa47f24af32aec35ab
weather,3,1718391901,-3315,-320,-474,-96,0,28116dd25d0107fa47f24af3ad8ec2df
weather,4,1718391910,-3315,-318,-550,-87,0,28116df5850107fa47f24af396a2760e
weather,5,1718391919,-3315,-321,-475,-106,0,28116e18ad0107fa47f24af3b4dee33b
weather,1,1718415049,-3316,-284,-465,-102,0,2812cf076401162ef97a39e82d5cea0d
weather,2,1718415058,-3315,-286,-465,-109,0,2812cf2a8a01162ef97a39e8d62e45d2
weather,3,1718415067,-3314,-278,-473,-114,0,2812cf4db201162ef97a39e878605582
weather,4,1718415076,-3314,-287,-499,-98,0,2812cf70db01162ef97a39e86864bc7d
weather,5,1718415085,-3314,-272,-476,-95,0,2812cf940201162ef97a39e8668b5bf4
weather,1,1718435077,-3316,-321,-588,-174,0,281400a306019ee49b61d91e5ed323de
weather,2,1718435086,-3315,-334,-592,-94,0,281400c62d019ee49b61d91e4b8c35b4
weather,3,1718435095,-3314,-311,-557,-85,0,281400e954019ee49b61d91e9763f99f
weather,4,1718435104,-3314,-323,-622,-96,0,2814010c7d019ee49b61d91e19686221
weather,5,1718435113,-3314,-330,-511,-105,0,2814012fa4019ee49b61d91e732e3eec
weather,1,1718456722,-3316,-333,-538,-89,0,28154ae86801e90084699a174fc17185
weather,2,1718456731,-3315,-345,-615,-96,0,28154b0b8f01e90084699a17ffba1fb7
weather,3,1718456740,-3315,-329,-492,-99,0,28154b2eb701e90084699a1789280b9a
weather,4,1718456749,-3315,-334,-569,-94,0,28154b51df01e90084699a176eec620c
weather,5,1718456758,-3315,-321,-510,-101,0,28154b750701e90084699a17aec1232f
weather,1,1718478269,-3317,-331,-518,-184,0,281693af01013c8d3299f8472661df6b
weather,2,1718478278,-3315,-349,-467,-85,0,281693d227013c8d3299f84746a239cb
weather,3,1718478287,-3314,-331,-503,-84,0,281693f54f013c8d3299f8470d407ace
weather,4,1718478296,-3315,-343,-508,-99,0,2816941877013c8d3299f847d5ec1020
weather,5,1718478305,-3314,-331,-559,-107,0,2816943b9f013c8d3299f847499b6b04
weather,1,1718501490,-3316,-335,-513,-179,0,2817f603cc0196f95d99aa5feb33fbcc
weather,2,1718501499,-3315,-328,-493,-95,0,2817f626f20196f95d99aa5fc3461acb
weather,3,1718501508,-3315,-367,-494,-86,0,2817f64a1a0196f95d99aa5f7441d45d
weather,4,1718501517,-3315,-323,-719,-83,0,2817f66d430196f95d99aa5f1a540132
weather,5,1718501526,-3314,-345,-447,-84,0,2817f6906b0196f95d99aa5fa4e9959c
weather,1,1718521541,-3317,-292,-547,-131,0,281927f6fb01700b8631344f993e449f
weather,2,1718521550,-3315,-283,-542,-84,0,2819281a2201700b8631344f99877402
weather,3,1718521559,-3315,-277,-534,-80,0,2819283d4a01700b8631344f7225d0fc
weather,4,1718521568,-3314,-276,-547,-99,0,281928607101700b8631344f46c1ba1d
weather,5,1718521577,-3315,-277,-497,-99,0,281928839901700b8631344fee51e001
weather,1,1718543121,-3316,-320,-587,-86,0,281a71412f011188995bd500064fc908
weather,2,1718543130,-3314,-333,-552,-87,0,281a716456011188995bd5007a85f97f
weather,3,1718543139,-3315,-316,-523,-85,0,281a71877e011188995bd50050be5511
weather,4,1718543148,-3315,-331,-503,-100,0,281a71aaa6011188995bd500624bd4a4
weather,5,1718543157,-3314,-315,-531,-97,0,281a71cdce011188995bd500b5ec8dda
weather,1,1718564707,-3316,-323,-515,-99,0,281bbaa205014fa1555a535f6afba590
weather,2,1718564716,-3315,-332,-531,-100,0,281bbac52c014fa1555a535fdd353cc8
weather,3,1718564725,-3315,-318,-561,-95,0,281bbae854014fa1555a535f65268fe6
