Testcase,Num,timestamp,End_detected,ASR_Result,TTS_Speak_directive,TTS_1st_data,TTS_1st_pcm_write,Dialog_Request_ID
date,2,1710638787,3305,323,438,83,0,26434eae200131d7a51c4c1e87d084bc
date,3,1710638797,3304,301,659,76,0,26434ed5300131d7a51c4c1ea738c564
date,4,1710638808,3304,318,307,84,0,26434f00280131d7a51c4c1e6bb50725
date,5,1710638818,3304,302,416,82,0,26434f27370131d7a51c4c1ef8399cb1
date,1,1710658976,3305,348,743,185,0,264482bec301e109a38648233761a13e
date,2,1710658987,3304,324,617,78,0,264482e9ba01e109a386482330037b9d
date,3,1710658997,3304,334,334,85,0,26448310c901e109a38648239262a1da
date,4,1710659007,3304,311,370,85,0,26448337d901e109a3864823e6e043e4
date,5,1710659017,3304,324,547,83,0,2644835ee901e109a386482379c2630d
date,1,1710680587,3305,275,780,131,0,2645cc81e8018d5578ce9f44be9de230
date,2,1710680598,3304,282,371,78,0,2645ccace0018d5578ce9f44c962e63c
date,3,1710680608,3304,268,576,92,0,2645ccd3ee018d5578ce9f44bfe84338
date,4,1710680618,3304,279,586,83,0,2645ccfaff018d5578ce9f448f922459
date,5,1710680628,3304,274,343,86,0,2645cd220f018d5578ce9f44687549ef
date,1,1710702158,3305,327,710,175,0,264715a6be01a6d60fa4ef71831e2e82
date,2,1710702169,3304,319,592,79,0,264715d1b501a6d60fa4ef7131667d31
date,3,1710702179,3304,323,334,87,0,264715f8c401a6d60fa4ef71702fea83
date,4,1710702189,3304,319,594,77,0,2647161fd401a6d60fa4ef71d19906d6
date,5,1710702199,3304,319,350,85,0,26471646e401a6d60fa4ef7169a20e41
date,1,1710725023,3305,320,605,179,0,2648728b9d011b0c5e2aa5904f14b2d2
date,2,1710725034,3305,331,310,78,0,264872b695011b0c5e2aa5907807b2bd
date,3,1710725044,3304,319,487,77,0,264872dda4011b0c5e2aa5906f76b07a
date,4,1710725054,3304,325,352,85,0,26487304b3011b0c5e2aa590c740869c
date,5,1710725064,3304,317,311,84,0,2648732bc4011b0c5e2aa59007f12a21
date,1,1710745375,3305,318,390,169,0,2649a917b601f3c05019f14e98940c12
date,2,1710745385,3304,334,576,109,0,2649a93ec501f3c05019f14e18002a8b
date,3,1710745395,3304,303,291,91,0,2649a965d401f3c05019f14eb4ab0998
date,4,1710745405,3304,328,329,97,0,2649a98ce501f3c05019f14ee440de52
date,5,1710745415,3304,322,305,107,0,2649a9b3f501f3c05019f14ea5c7a11a
date,1,1710766979,3306,341,706,191,0,264af2bdbb010dcdd0afe761af7d7148
date,2,1710766990,3304,348,554,96,0,264af2e8b1010dcdd0afe761cdc4f579
date,3,1710767000,3304,332,407,103,0,264af30fbf010dcdd0afe761e199bff7
date,4,1710767010,3304,343,383,95,0,264af336d0010dcdd0afe76153c7f8ee
date,5,1710767020,3304,331,506,94,0,264af35de0010dcdd0afe76156c791af
date,1,1710788595,3305,321,760,181,0,264c3c925101ca9c15971e7db1572081
date,2,1710788606,3304,335,375,102,0,264c3cbd4701ca9c15971e7dde11d781
date,3,1710788616,3304,330,549,101,0,264c3ce45701ca9c15971e7d2b5241b9
